"ATTR1","ATTR2","ATTR3","ATTR4","ATTR5","ATTR6","DCM1","DCM2","DCM3","DCM4","DCM5","DCM6"
0,0,0,0.097931270463351,0,0,0,0,0,0.435533383034951,0,0.236985862134423
4.08715979735862,2.75148720431066,2.78820296650121,4.50483844131415,4.28048903160356,4.72375322438334,3.92885767391624,1.77689367445842,4.02828600458791,6.31523405400679,5.29786210887514,4.85821017375566
16671.339033435,10334.4840324574,7288.36255443416,7519.84846506934,5033.61729621959,8433.58656024725,8406.68391554242,9335.57725389523,6184.03875335084,8022.63379884956,6961.93418153464,8182.88483363948
4.45871977893667,3.36292880526859,2.34796039284312,4.4069071708508,4.99390387020416,4.61128290951707,3.57168879446931,5.10856931406796,1.96249830992744,4.0286837930733,2.44516712717314,3.91026672521797
2693.9027564363,1875.29139013796,1410.2437109514,1406.78270020604,1033.26249123986,1653.65103947877,1668.21677960347,1904.71896316477,1334.49885075066,1934.63928744125,1467.91533201294,1892.45060207443
2.87958985722993,2.95530107129664,0.146747524552695,2.05655667973037,1.90243956960158,4.27387196491826,3.0954636218734,2.88745222099493,1.23947261679628,2.28655026093349,1.35842618176286,0.710957586403268
2426.84401967707,1723.85768696738,1235.17391416004,1409.03511942669,808.061207188273,1581.78250827922,1612.85560328919,2202.2375977819,1206.93646060538,1649.14715486184,1328.9483336186,1537.09030180387
105.058584791195,71.2329465115983,59.5794949683943,59.7380749826441,60.8780662272507,82.1033298523771,94.7688093465857,81.51499731578,54.3302163695702,75.565041956564,66.8345681427326,76.4279405383513
408.623089740467,224.704788352037,194.293722507768,153.850025897924,170.268341479342,196.485640071374,190.251956452065,190.905014149626,133.759753229265,214.173541107437,159.071705884431,200.727025227856
3.43692982959702,5.19725360814236,1.46747524552695,3.52552573668064,2.85365935440238,4.38634227978453,2.97640732872443,2.77639636634128,2.47894523359256,4.79086721338446,4.34696378164114,4.73971724268845
1132.23615386373,824.12137115779,599.757132846865,753.581126215486,488.926969387607,892.564418778719,690.288387677769,681.660835864111,539.273877691115,837.63957892197,791.690778731393,772.455417627151
0.46444997697257,0.713348534450913,0.733737622763476,0.587587622780106,0.713414838600594,0.11247031486627,0.238112586297954,0.333167563960954,0.206578769466047,0.435533383034951,0.271685236352571,1.0664363796049
0,0,0,0,0,0.11247031486627,0.238112586297954,0.111055854653651,0,0.108883345758738,0,0.473971724268845
47021.4730086754,29995.8982459269,32732.0353514787,22494.5190316203,13862.3637288481,24607.2677192763,30961.3033711504,38960.0596503207,16013.0566045453,27136.0163133384,19811.694962684,24552.6832605747
0.092889995394514,0,0,0,0.237804946200198,0,0,0.222111709307302,0,0,0.135842618176286,0.473971724268845
14482.2005119725,8401.71713182936,8195.55575121892,6811.51158580792,5057.39779083961,7256.92212611634,8990.41692085185,7869.08469319376,4607.94603170963,9773.36911530431,5500.13176733963,7148.67853128486
0.371559981578056,0.40762773397195,1.46747524552695,0.195862540926702,0,0,0,0.222111709307302,0.30986815419907,0.544416728793689,0.135842618176286,0.236985862134423
